クリス・アーノルド,アーノルド,クリス
福田周平,フクダ シュウヘイ,フクダ,シュウヘイ
福田俊,フクダ スグル,フクダ,スグル
福谷浩司,フクタニ コウジ,フクタニ,コウジ
福地寿樹（福地和広）,フクチ カズキ,フクチ カズヒロ,フクチ,カズキ,カズヒロ
福地経人,フクチ ツネト,フクチ,ツネト
福地元春,フクチ モトハル,フクチ,モトハル
福塚勝哉,フクヅカ カツヤ,フクヅカ,カツヤ
福富邦夫,フクトミ クニオ,フクトミ,クニオ
福留宏紀,フクトメ ヒロキ,フクトメ,ヒロキ
福留孝介,フクドメ コウスケ,フクドメ,コウスケ
福永栄助,フクナガ エイスケ,フクナガ,エイスケ
福永一馬,フクナガ カズマ,フクナガ,カズマ
福永春吾,フクナガ シュンゴ,フクナガ,シュンゴ
福原忍,フクハラ シノブ,フクハラ,シノブ
普久原淳一,フクハラ ジュンイチ,フクハラ,ジュンイチ
福原勝,フクハラ マサル,フクハラ,マサル
福原峰夫,フクハラ ミネオ,フクハラ,ミネオ
福間納,フクマ オサム,フクマ,オサム
福元淳史,フクモト アツシ,フクモト,アツシ
福本誠,フクモト マコト,フクモト,マコト
福本万一郎,フクモト マンイチロウ,フクモト,マンイチロウ
福本豊,フクモト ユタカ,フクモト,ユタカ
福盛和男（福盛一夫）,フクモリ カズオ,フクモリ,カズオ
福家雅明,フクヤ マサアキ,フクヤ,マサアキ
福山博之,フクヤマ ヒロユキ,フクヤマ,ヒロユキ
福山龍太郎,フクヤマ リュウタロウ,フクヤマ,リュウタロウ
福良淳一,フクラ ジュンイチ,フクラ,ジュンイチ
福良徹,フクラ トオル,フクラ,トオル
ジョージ・ブコビッチ,ブコビッチ,ジョージ
藤井彰人,フジイ アキヒト,フジイ,アキヒト
藤井淳志,フジイ アツシ,フジイ,アツシ
藤井勇（藤井秀郎）,フジイ イサム,フジイ,イサム
藤井栄治,フジイ エイジ,フジイ,エイジ
藤井宏政,フジイ コウセイ,フジイ,コウセイ
藤井皓哉,フジイ コウヤ,フジイ,コウヤ
藤井秀悟,フジイ シュウゴ,フジイ,シュウゴ
藤井清一郎,フジイ セイイチロウ,フジイ,セイイチロウ
藤井翼,フジイ ツバサ,フジイ,ツバサ
藤井信行,フジイ ノブユキ,フジイ,ノブユキ
藤井秀郎,フジイ ヒデオ,フジイ,ヒデオ
藤井弘,フジイ ヒロム,フジイ,ヒロム
藤井将雄,フジイ マサオ,フジイ,マサオ
藤井優志,フジイ マサシ,フジイ,マサシ
藤井道夫,フジイ ミチオ,フジイ,ミチオ
藤井康雄,フジイ ヤスオ,フジイ,ヤスオ
藤井亮太,フジイ リョウタ,フジイ,リョウタ
藤井黎來,フジイ レイラ,フジイ,レイラ
藤池昇,フジイケ ノボル,フジイケ,ノボル
藤江清志,フジエ セイシ,フジエ,セイシ
藤江均,フジエ ヒトシ,フジエ,ヒトシ
藤枝慎治,フジエダ シンジ,フジエダ,シンジ
藤尾茂,フジオ シゲル,フジオ,シゲル
藤王康晴,フジオウ ヤスハル,フジオウ,ヤスハル
藤岡貞明,フジオカ サダアキ,フジオカ,サダアキ
藤岡貴裕,フジオカ タカヒロ,フジオカ,タカヒロ
藤岡寛生,フジオカ ヒロキ,フジオカ,ヒロキ
藤岡好明,フジオカ ヨシアキ,フジオカ,ヨシアキ
藤岡裕大,フジオカ ユウダイ,フジオカ,ユウダイ
藤川球児,フジカワ キュウジ,フジカワ,キュウジ
俊介（藤川俊介）,シュンスケ,フジカワ シュンスケ,フジカワ
藤川哲郎（哲朗）,フジカワ テツロウ,フジカワ,テツロウ
藤倉一雅（藤倉多祐）,フジクラ カズマサ,フジクラ,カズマサ
藤崎紘範,フジサキ ヒロノリ,フジサキ,ヒロノリ
藤崎靖彦,フジサキ ヤスヒコ,フジサキ,ヤスヒコ
藤沢公也,フジサワ キミヤ,フジサワ,キミヤ
藤澤亨明,フジサワ コウメイ,フジサワ,コウメイ
藤澤拓斗,フジサワ タクト,フジサワ,タクト
藤沢哲也,フジサワ テツヤ,フジサワ,テツヤ
藤重登,フジシゲ ノボル,フジシゲ,ノボル
藤島誠剛,フジシマ セイゴウ,フジシマ,セイゴウ
藤嶋健人,フジシマ ケント,フジシマ,ケント
藤城和明,フジシロ カズアキ,フジシロ,カズアキ
藤瀬史朗,フジセ シロウ,フジセ,シロウ
藤田一也,フジタ カズヤ,フジタ,カズヤ
藤田賢治,フジタ ケンジ,フジタ,ケンジ
藤田航生,フジタ コウキ,フジタ,コウキ
藤田宗一(外野手),フジタ ソウイチ,フジタ,ソウイチ
藤田宗一(投手),フジタ ソウイチ,フジタ,ソウイチ
藤田太陽（太陽）,フジタ タイヨウ,タイヨウ,フジタ
藤田平,フジタ タイラ,フジタ,タイラ
藤田辰雄,フジタ タツオ,フジタ,タツオ
藤田達也,フジタ ノブヒロ,フジタ,ノブヒロ
藤田訓弘,フジタ ノリヒロ,フジタ,ノリヒロ
藤田浩雅,フジタ ヒロマサ,フジタ,ヒロマサ
藤田学,フジタ マナブ,フジタ,マナブ
藤田元司,フジタ モトシ,フジタ,モトシ
藤立次郎,フジタテ ジロウ,フジタテ,ジロウ
藤谷洸介,フジタニ コウスケ,フジタニ,コウスケ
藤戸逸郎,フジト イツロウ,フジト,イツロウ
藤浪晋太郎,フジナミ シンタロウ,フジナミ,シンタロウ
藤浪光雄,フジナミ ミツオ,フジナミ,ミツオ
藤波行雄,フジナミ ユキオ,フジナミ,ユキオ
藤野正剛,フジノ セイゴウ,フジノ,セイゴウ
藤野隆司,フジノ タカシ,フジノ,タカシ
藤野文三郎,フジノ フミサブロウ,フジノ,フミサブロウ
藤野光久,フジノ ミツヒサ,フジノ,ミツヒサ
藤野義登（良人）,フジノ ヨシト,フジノ,ヨシト
藤原正典,フジハラ マサノリ,フジハラ,マサノリ
藤原保行,フジハラ ヤスユキ,フジハラ,ヤスユキ
藤平尚真,フジヒラ ショウマ,フジヒラ,ショウマ
伏見五郎,フシミ ゴロウ,フシミ,ゴロウ
伏見寅威,フシミ トライ,フシミ,トライ
藤道昭和,フジミチ アキカズ,フジミチ,アキカズ
藤村大介,フジムラ ダイスケ,フジムラ,ダイスケ
藤村隆男,フジムラ タカオ,フジムラ,タカオ
藤村宣人,フジムラ ノブト,フジムラ,ノブト
藤村富美男,フジムラ フミオ,フジムラ,フミオ
藤村雅人,フジムラ マサト,フジムラ,マサト
藤目功治,フジメ コウジ,フジメ,コウジ
藤本敦士,フジモト アツシ,フジモト,アツシ
藤本和宏,フジモト カズヒロ,フジモト,カズヒロ
藤本勝巳,フジモト カツミ,フジモト,カツミ
藤本健作,フジモト ケンサク,フジモト,ケンサク
藤本健治,フジモト ケンジ,フジモト,ケンジ
藤本茂喜,フジモト シゲキ,フジモト,シゲキ
藤本修二,フジモト シュウジ,フジモト,シュウジ
藤本正一,フジモト ショウイチ,フジモト,ショウイチ
藤本伸,フジモト シン,フジモト,シン
藤本貴久,フジモト タカヒサ,フジモト,タカヒサ
藤本俊彦（藤本強士）,フジモト トシヒコ,フジモト ツヨシ,フジモト,トシヒコ,ツヨシ
藤本典征,フジモト ノリユキ,フジモト,ノリユキ
藤本英雄,フジモト ヒデオ,フジモト,ヒデオ
藤本博史(内野手),フジモト ヒロシ,フジモト,ヒロシ
藤本博史(捕手),フジモト ヒロシ,フジモト,ヒロシ
藤本昌治,フジモト マサハル,フジモト,マサハル
藤谷周平,フジヤ シュウヘイ,フジヤ,シュウヘイ
藤吉優,フジヨシ マサル,フジヨシ,マサル
藤原清景,フジワラ キヨカゲ,フジワラ,キヨカゲ
藤原虹気,フジワラ コウキ,フジワラ,コウキ
藤原鉄之助（藤原鉄之輔）,フジワラ テツノスケ,フジワラ,テツノスケ
藤原通,フジワラ トオル,フジワラ,トオル
藤原利美,フジワラ トシミ,フジワラ,トシミ
藤原紘通,フジワラ ヒロミチ,フジワラ,ヒロミチ
藤原真,フジワラ マコト,フジワラ,マコト
藤原仁,フジワラ マサシ,フジワラ,マサシ
藤原満,フジワラ ミツル,フジワラ,ミツル
藤原良平,フジワラ リョウヘイ,フジワラ,リョウヘイ
藤原恭大,フジワラ キョウタ,フジワラ,キョウタ
毒島章一,ブスジマ ショウイチ,ブスジマ,ショウイチ
布施勝巳,フセ カツミ,フセ,カツミ
アラン・ブセニッツ,ブセニッツ,アラン
布田敏雄,フダ トシオ,フダ,トシオ
二神一人,フタガミ カズヒト,フタガミ,カズヒト
二木康太,フタキ コウタ,フタキ,コウタ
マーク・ブダスカ,ブダスカ,マーク
二村忠美,フタムラ タダミ,フタムラ,タダミ
淵上澄雄,フチガミ スミオ,フチガミ,スミオ
渕脇芳行,フチワキ ヨシユキ,フチワキ,ヨシユキ
ドン・ブッサン,ブッサン,ドン
チャーリー・フッド,フッド,チャーリー
舩木聖士,フナキ サトシ,フナキ,サトシ
船越涼太,フナコシ リョウタ,フナコシ,リョウタ
船田和英,フナダ カズヒデ,フナダ,カズヒデ
船田政雄,フナダ マサオ,フナダ,マサオ
舟山恭史,フナヤマ ヤスシ,フナヤマ,ヤスシ
船渡光政,フナワタリ ミツマサ,フナワタリ,ミツマサ
ラルフ・ブライアント,ブライアント,ラルフ
ジェイソン・プライディ,プライディ,ジェイソン
アダム・ブライト,ブライト,アダム
ジム・ブラウワー,ブラウワー,ジム
ジェイミー・ブラウン,ブラウン,ジェイミー
ディー・ブラウン,ブラウン,ディー
トッド・ブラウン,ブラウン,トッド
マーティ・レオ・ブラウン,ブラウン,マーティレオ
マイク・ブラウン,ブラウン,マイク
ルイス・ブラウン,ブラウン,ルイス
ルーズベルト・ブラウン,ブラウン,ルーズベルト
マーク・ブラウンスタイン,ブラウンスタイン,マーク
クレイグ・ブラゼル,ブラゼル,クレイグ
ヤンシー・ブラゾバン,ブラゾバン,ヤンシー
グレン・ブラッグス,ブラッグス,グレン
トラビス・ブラックリー,ブラックリー,トラビス
ジャバリ・ブラッシュ,ブラッシュ,ジャバリ
フィル・ブラッドリー,フィル・ブラッドリー ,ブラッドリー,フィル
マイカ・フランクリン,フランクリン,マイカ
エスターリン・フランコ,フランコ,エスターリン
フリオ・フランコ,フランコ,フリオ
マット・フランコ,フランコ,マット
トニ・ブランコ,ブランコ,トニ
ヘロニモ・フランスア,フランスア,ヘロニモ
マーシャル・ブラント,ブラント,マーシャル
ミッキー・ブラントリー,ミッキー・ブラントリー ,ブラントリー,ミッキー
クリフ・ブランボー,ブランボー,クリフ
ハービー・プリアム,プリアム,ハービー
ハル・ブリーデン,ブリーデン,ハル
カルロス・プリード,プリード,カルロス
ジェイク・ブリガム,ブリガム,ジェイク
ジョン・ブリッグス,ブリッグス,ジョン
ダン・ブリッグス,ブリッグス,ダン
ジョン・ブリットン,ジョン・ブリットン ,ブリットン,ジョン
バーナード・ブリトー,ブリトー,バーナード
ペレス・ブリトー,ブリトー,ペレス
マリオ・ブリトー,マリオ・ブリトー ,ブリトー,マリオ
サンディ・ブリトー,ブリトー,サンディ
パット・フリューリー,フリューリー,パット
トニー・ブリューワ,ブリューワ,トニー
ロッド・ブリューワ,ブリューワ,ロッド
ウィル・フリント,フリント,ウィル
ジャック・ブルーム（ジャック・ブルームフィールド）,ジャック・ブルーム,ブルーム,ジャック
古川明,フルカワ アキラ,フルカワ,アキラ
古川啓三,フルカワ ケイゾウ,フルカワ,ケイゾウ
古川秀一,フルカワ シュウイチ,フルカワ,シュウイチ
古川慎一,フルカワ シンイチ,フルカワ,シンイチ
古川清蔵,フルカワ セイゾウ,フルカワ,セイゾウ
古川忠道,フルカワ タダミチ,フルカワ,タダミチ
古川利行,フルカワ トシユキ,フルカワ,トシユキ
古川正男,フルカワ マサオ,フルカワ,マサオ
古河有一（ジョー古河）,フルカワ ユウイチ,ジョーフルカワ,フルカワ,ユウイチ
古川祐樹,フルカワ ユウキ,フルカワ,ユウキ
古川侑利,フルカワ ユウリ,フルカワ,ユウリ
古木克明,フルキ カツアキ,フルキ,カツアキ
古城茂幸,フルキ シゲユキ,フルキ,シゲユキ
古久保健二,フルクボ ケンジ,フルクボ,ケンジ
古里泰隆,フルサト ヤスタカ,フルサト,ヤスタカ
古沢淳,フルサワ ジュン,フルサワ,ジュン
古澤勝吾,フルサワ ショウゴ,フルサワ,ショウゴ
古沢憲司,フルザワ ケンジ,フルザワ,ケンジ
古田敦也,フルタ アツヤ,フルタ,アツヤ
古田忠士（古田忠司）,フルタ タダシ,フルタ,タダシ
古谷盛人,フルタニ モリト,フルタニ,モリト
ジェリー・ブルックス,ジェリー・ブルックス ,ブルックス,ジェリー
古野正人,フルノ マサト,フルノ,マサト
古溝克之,フルミゾ カツユキ,フルミゾ,カツユキ
古本武尊,フルモト タケル,フルモト,タケル
古谷倉之助,フルヤ クラノスケ,フルヤ,クラノスケ
古谷譲,フルヤ ジョウ,フルヤ,ジョウ
古谷拓哉,フルヤ タクヤ,フルヤ,タクヤ
古谷拓哉,フルヤ タクヤ,フルヤ,タクヤ
古家武夫,フルヤ タケオ,フルヤ,タケオ
古屋剛,フルヤ ツヨシ,フルヤ,ツヨシ
古屋哲美,フルヤ テツミ,フルヤ,テツミ
古谷法夫,フルヤ ノリオ,フルヤ,ノリオ
古屋英夫,フルヤ ヒデオ,フルヤ,ヒデオ
古谷優人,フルヤ ユウト,フルヤ,ユウト
古谷拓郎,フルヤ タクロウ,フルヤ,タクロウ
ドン・ブレイザー（ドン・ブラッシンゲーム）,ドン・ブレイザー,ブレイザー,ドン
ライアン・ブレイシア,ブレイシア,ライアン
ブレント・ブレイディー,ブレイディー,ブレント
ウィリー・フレーザー,フレーザー,ウィリー
スコット・ブレット,ブレット,スコット
テリー・ブロウズ,ブロウズ,テリー
マイク・ブロードウェイ,ブロードウェイ,マイク
テリー・ブロス,ブロス,テリー
クリス・ブロック,ブロック,クリス
グレッグ・ブロッサー,ブロッサー,グレッグ
マーク・ブロハード,ブロハード,マーク
マイケル・ブロワーズ,マイケル・ブロワーズ ,ブロワーズ,マイケル
屏道夫,ヘイ ミチオ,ヘイ,ミチオ
塀内久雄,ヘイウチ ヒサオ,ヘイウチ,ヒサオ
マット・ヘイグ,ヘイグ,マット
ビル・ベイス,ベイス,ビル
クリス・ヘイニー,ヘイニー,クリス
コリー・ベイリー,ベイリー,コリー
ジョナ・ベイリス,ベイリス,ジョナ
ジョン・ベイル,ベイル,ジョン
フィル・ペイン,ペイン,フィル
ブレイディン・ヘーゲンズ,ヘーゲンズ,ブレイディン
ウィリー・モー・ペーニャ,ペーニャ,ウィリー・モー
ラミロ・ペーニャ,ペーニャ,ラミロ
マルコス・ベキオナチ,ベキオナチ,マルコス
白嗟承,ペク チャスン,ペク,チャスン
カルロス・ペゲーロ,ペゲーロ,カルロス
フランシスコ・ペゲーロ,ペゲーロ,フランシスコ
部坂俊之,ヘサカ トシユキ,ヘサカ,トシユキ
カンディド・ヘスス,ヘスス,カンディド
マイク・ヘスマン,ヘスマン,マイク
ロベルト・ペタジーニ,ペタジーニ,ロベルト
ユニエスキー・ベタンコート,ベタンコート,ユニエスキー
ラファエル・ベタンコート,ベタンコート,ラファエル
別所毅彦（別所昭）,ベッショ タケヒコ,ベッショ アキラ,ベッショ,タケヒコ,アキラ
トッド・ベッツ,ベッツ,トッド
別当薫,ベットウ カオル,ベットウ,カオル
別府岩雄,ベップ イワオ,ベップ,イワオ
別府修作,ベップ シュウサク,ベップ,シュウサク
ロドニー・ペドラザ,ペドラザ,ロドニー
ザック・ペトリック,ペトリック,ザック
マックス・ベナブル,ベナブル,マックス
ブラッド・ペニー,ペニー,ブラッド
ジェイソン・ベバリン,ベバリン,ジェイソン
ジョー・ペピトーン,ペピトーン,ジョー
ジョニー・ヘルウェグ,ヘルウェグ,ジョニー
ソイロ・ベルサイエス,ベルサイエス,ソイロ
レノ・ベルトイア,ベルトイア,レノ
フェリックス・ペルドモ,ペルドモ,フェリックス
リゴ・ベルトラン,ベルトラン,リゴ
エステバン・ヘルマン,ヘルマン,エステバン
ゴンザレス・ヘルメン,ヘルメン,ゴンザレス
エルネスト・ペレイラ,ペレイラ,エルネスト
エドワード・ペレス,ペレス,エドワード
ティモニエル・ペレス,ペレス,ティモニエル
ネルソン・ペレス,ペレス,ネルソン
ヨーキス・ペレス,ペレス,ヨーキス
ルイス・ペレス,ペレス,ルイス
ロベルト・ペレス,ペレス,ロベルト
フェリックス・ペレス,ペレス,フェリックス
カルロス・ペレス,ペレス,カルロス
クリスチャン・ベロア,ベロア,クリスチャン
グレゴリー・ベロス,ベロス,グレゴリー
ヘイデン・ペン,ペン,ヘイデン
デーブ・ヘンゲル,ヘンゲル,デーブ
ルディ・ペンバートン,ペンバートン,ルディ
ドウェイン・ヘンリー,ヘンリー,ドウェイン
帆足和幸,ホアシ カズユキ,ホアシ,カズユキ
ポール・ホイタック,ホイタック,ポール
クリート・ボイヤー,ボイヤー,クリート
ブレイン・ボイヤー,ボイヤー,ブレイン
ブラッド・ボイルズ,ボイルズ,ブラッド
アーロン・ポインター,ポインター,アーロン
ジョン・ボウカー,ジョン・ボウカー ,ボウカー,ジョン
ブルース・ボウクレア,ブルース・ボウクレア ,ボウクレア,ブルース
宝山省二,ホウザン ショウジ,ホウザン,ショウジ
北條史也,ホウジョウ フミヤ,ホウジョウ,フミヤ
マイケル・ボウデン,ボウデン,マイケル
坊西浩嗣,ボウニシ コウジ,ボウニシ,コウジ
法元英明,ホウモト ヒデアキ,ホウモト,ヒデアキ
保谷俊夫,ホウヤ トシオ,ホウヤ,トシオ
蓬莱昭彦,ホウライ アキヒコ,ホウライ,アキヒコ
ライアン・ボーグルソン,ボーグルソン,ライアン
ドゥエイン・ホージー,ホージー,ドゥエイン
マーク・ホージマー,ホージマー,マーク
ルー・ポート,ポート,ルー
ボブ・ホーナー,ホーナー,ボブ
フェリペ・ポーリーノ,ポーリーノ,フェリペ
フランク・ボーリック,ボーリック,フランク
メル・ホール,ホール,メル
ジェフ・ボール,ボール,ジェフ
コーリー・ポール,ポール,コーリー
デニス・ショーン・ホールトン,ホールトン,デニス
ヒラム・ボカチカ,ボカチカ,ヒラム
朴賢明,ボク ケンメイ,ボク,ケンメイ
ブライアン・ボグセビック,ボグセビック,ブライアン
保坂英二,ホサカ エイジ,ホサカ,エイジ
保坂幸永,ホサカ ユキナガ,ホサカ,ユキナガ
星孝典,ホシ タカノリ,ホシ,タカノリ
星秀和,ホシ ヒデカズ,ホシ,ヒデカズ
星知弥,ホシ トモヤ,ホシ,トモヤ
星沢純,ホシザワ ジュン,ホシザワ,ジュン
星田次郎,ホシダ ジロウ,ホシダ,ジロウ
星野おさむ（星野修）,ホシノ オサム,ホシノ,オサム
星野順治,ホシノ ジュンジ,ホシノ,ジュンジ
星野仙一,ホシノ センイチ,ホシノ,センイチ
星野大地,ホシノ ダイチ,ホシノ,ダイチ
星野武男,ホシノ タケオ,ホシノ,タケオ
星野智樹,ホシノ トモキ,ホシノ,トモキ
星野伸之,ホシノ ノブユキ,ホシノ,ノブユキ
星野秀孝,ホシノ ヒデタカ,ホシノ,ヒデタカ
星野正男,ホシノ マサオ,ホシノ,マサオ
星野真澄,ホシノ マスミ,ホシノ,マスミ
星野八千穂,ホシノ ヤチホ,ホシノ,ヤチホ
星野雄大,ホシノ ユウダイ,ホシノ,ユウダイ
干場一夫,ホシバ カズオ,ホシバ,カズオ
干場崇永,ホシバ タカヒサ,ホシバ,タカヒサ
星原一彦,ホシハラ カズヒコ,ホシハラ,カズヒコ
星山晋徳,ホシヤマ シントク,ホシヤマ,シントク
星山忠弘,ホシヤマ タダヒロ,ホシヤマ,タダヒロ
デビッド・ホステトラー,ホステトラー,デビッド
アルキメデス・ポゾ,ポゾ,アルキメデス
細川亨,ホソカワ トオル,ホソカワ,トオル
細川安雄,ホソカワ ヤスオ,ホソカワ,ヤスオ
細川成也,ホソカワ セイヤ,ホソカワ,セイヤ
細田正彦,ホソダ マサヒコ,ホソダ,マサヒコ
細見和史,ホソミ カズシ,ホソミ,カズシ
細見直樹,ホソミ ナオキ,ホソミ,ナオキ
細溝久男,ホソミゾ ヒサオ,ホソミゾ,ヒサオ
細谷圭,ホソヤ ケイ,ホソヤ,ケイ
細谷保雄,ホソヤ ヤスオ,ホソヤ,ヤスオ
細山田武史,ホソヤマダ タケシ,ホソヤマダ,タケシ
ケビン・ホッジス,ホッジス,ケビン
トレイ・ホッジス,ホッジス,トレイ
堀田明,ホッタ アキラ,ホッタ,アキラ
堀田徹,ホッタ トオル,ホッタ,トオル
堀田芳信,ホッタ ヨシノブ,ホッタ,ヨシノブ
ジェイソン・ボッツ,ボッツ,ジェイソン
保手浜明,ホテハマ アキラ,ホテハマ,アキラ
ロン・ボトラ,ボトラ,ロン
ジェームス・ボニチ,ボニチ,ジェームス
ゲイル・ホプキンス,ホプキンス,ゲイル
マイカ・ホフパワー,ホフパワー,マイカ
ガイ・ホフマン,ホフマン,ガイ
堀幸一,ホリ コウイチ,ホリ,コウイチ
堀瑞輝,ホリ ミズキ,ホリ,ミズキ
堀井数男,ホリイ カズオ,ホリイ,カズオ
堀井和人,ホリイ カズト,ホリイ,カズト
堀井恒雄（堀井幹夫）,ホリイ ツネオ,ホリイ,ツネオ
堀内謙伍,ホリウチ ケンゴ,ホリウチ,ケンゴ
堀内庄,ホリウチ ショウ,ホリウチ,ショウ
堀内汰門,ホリウチ タモン,ホリウチ,タモン
堀内恒夫,ホリウチ ツネオ,ホリウチ,ツネオ
塹江敦哉,ホリエ アツヤ,ホリエ,アツヤ
堀江賢治（堀江晃治）,ホリエ ケンジ,ホリエ コウジ,ホリエ,ケンジ,コウジ
堀尾文人,ホリオ フミト,ホリオ,フミト
堀岡隼人,ホリオカ ハヤト,ホリオカ,ハヤト
堀込基明,ホリゴメ モトアキ,ホリゴメ,モトアキ
堀田一郎,ホリタ イチロウ,ホリタ,イチロウ
堀内三郎,ホリノウチ サブロウ,ホリノウチ,サブロウ
堀場秀孝（堀場英孝）,ホリバ ヒデタカ,ホリバ,ヒデタカ
堀本律雄,ホリモト リツオ,ホリモト,リツオ
デーモン・ホリンズ,ホリンズ,デーモン
マイク・ボルシンガー,ボルシンガー,マイク
マイク・ホルツ,ホルツ,マイク
クリス・ホルト,ホルト,クリス
ロドニー・ボルトン,ボルトン,ロドニー
カール・ボレス,ボレス,カール
アーロン・ポレダ,ポレダ,アーロン
ラファエル・ポロ,ポロ,ラファエル
ジェリー・ホワイト,ホワイト,ジェリー
デリック・ホワイト,ホワイト,デリック
ロイ・ホワイト,ホワイト,ロイ
マット・ホワイトサイド,ホワイトサイド,マット
ジョシュ・ホワイトセル,ホワイトセル,ジョシュ
本郷宏樹,ホンゴウ ヒロキ,ホンゴウ,ヒロキ
カルロス・ポンセ,ポンセ,カルロス
本田明浩,ホンダ アキヒロ,ホンダ,アキヒロ
本多逸郎,ホンダ イツロウ,ホンダ,イツロウ
本田清,ホンダ キヨシ,ホンダ,キヨシ
本田圭佑,ホンダ ケイスケ,ホンダ,ケイスケ
本田威志,ホンダ タケシ,ホンダ,タケシ
本田親喜,ホンダ チカヨシ,ホンダ,チカヨシ
本田勤,ホンダ ツトム,ホンダ,ツトム
本田正浩,ホンダ マサヒロ,ホンダ,マサヒロ
本多雄一,ホンダ ユウイチ,ホンダ,ユウイチ
本田仁海,ホンダ ヒトミ,ホンダ,ヒトミ
本堂保次（本堂保弥）,ホンドウ ヤスジ,ホンドウ ヤスヤ,ホンドウ,ヤスジ,ヤスヤ
ジミー・ボンナ,ボンナ,ジミー
本間忠,ホンマ タダシ,ホンマ,タダシ
本間立彦,ホンマ タツヒコ,ホンマ,タツヒコ
本間勝,ホンマ マサル,ホンマ,マサル
本間満,ホンマ ミツル,ホンマ,ミツル
ジム・マーシャル,マーシャル,ジム
マイク・マーシャル,マーシャル,マイク
ケビン・マース,マース,ケビン
ジーン・マーチン,マーチン,ジーン
ビリー・マーチン,マーチン,ビリー
クリス・マーティン,マーティン,クリス
カイル・マーティン,マーティン,カイル
マット・マートン,マートン,マット
ドウェイン・マーフィー,マーフィー,ドウェイン
ビル・マーフィー,マーフィー,ビル
アーロン・マイエット,マイエット,アーロン
マイルズ・マイコラス,マイコラス,マイルズ
米田敏美,マイタ トシミ,マイタ,トシミ
デイモン・マイナー,マイナー,デイモン
舞野健司,マイノ ケンジ,マイノ,ケンジ
ジョーイ・マイヤー,マイヤー,ジョーイ
ロドニー・マイヤーズ,ロドニー・マイヤーズ ,マイヤーズ,ロドニー
トニー・マウンス,マウンス,トニー
前岡勤也（井崎勤也）,マエオカ キンヤ,イザキ キンヤ,マエオカ,イザキ,キンヤ
前川勝彦,マエカワ カツヒコ,マエカワ,カツヒコ
#前川忠男,マエカワ タダオ,マエカワ,タダオ
前川八郎,マエカワ ハチロウ,マエカワ,ハチロウ
前川正義,マエカワ マサヨシ,マエカワ,マサヨシ
前川光春,マエカワ ミツハル,マエカワ,ミツハル
前川恭兵,マエガワ キョウヘイ,マエガワ,キョウヘイ
前川忠男,マエガワ タダオ,マエガワ,タダオ
真栄喜正和,マエキ マサカズ,マエキ,マサカズ
前里史朗,マエザト シロウ,マエザト,シロウ
アレッサンドロ・マエストリ,マエストリ,アレッサンドロ
前田章宏,マエダ アキヒロ,マエダ,アキヒロ
前田和之,マエダ カズユキ,マエダ,カズユキ
前田勝宏,マエダ カツヒロ,マエダ,カツヒロ
前田喜代士,マエダ キヨシ,マエダ,キヨシ
前田健太,マエダ ケンタ,マエダ,ケンタ
前田耕司,マエダ コウジ,マエダ,コウジ
前田康介（前田康雄）,マエダ コウスケ,マエダ ヤスオ）,マエダ,コウスケ,ヤスオ
前田貞行,マエダ サダユキ,マエダ,サダユキ
前田諭治,マエダ サトジ,マエダ,サトジ
前田三郎,マエダ サブロウ,マエダ,サブロウ
前田修二,マエダ シュウジ,マエダ,シュウジ
前田四郎,マエダ シロウ,マエダ,シロウ
前田新悟,マエダ シンゴ,マエダ,シンゴ
前田大輔,マエダ ダイスケ,マエダ,ダイスケ
前田隆,マエダ タカシ,マエダ,タカシ
前田忠節,マエダ タダトキ,マエダ,タダトキ
前田亨,マエダ トオル,マエダ,トオル
前田俊郎,マエダ トシオ,マエダ,トシオ
前田登志雄,マエダ トシオ,マエダ,トシオ
前田智徳,マエダ トモノリ,マエダ,トモノリ
前田浩継,マエダ ヒロツグ,マエダ,ヒロツグ
前田益穂,マエダ マスホ,マエダ,マスホ
前田康雄,マエダ ヤスオ,マエダ,ヤスオ
大和（前田大和）,マエダ ヤマト,マエダ,ヤマト
前田祐二,マエダ ユウジ,マエダ,ユウジ
前田幸長,マエダ ユキナガ,マエダ,ユキナガ
前泊哲明,マエドマリ テツアキ,マエドマリ,テツアキ
前原博之,マエハラ ヒロユキ,マエハラ,ヒロユキ
前間卓,マエマ タカシ,マエマ,タカシ
曲尾マイケ,マガリオ マイケ,マガリオ,マイケ
牧勝彦,マキ カツヒコ,マキ,カツヒコ
牧憲二郎,マキ ケンジロウ,マキ,ケンジロウ
牧重見,マキ シゲミ,マキ,シゲミ
牧常一,マキ ツネイチ,マキ,ツネイチ
真木将樹,マキ マサキ,マキ,マサキ
牧丈一郎,マキ ジョウイチロウ,マキ,ジョウイチロウ
ケーシー・マギー,マギー,ケーシー
真喜志康永,マキシ ヤスナガ,マキシ,ヤスナガ
牧田和久,マキタ カズヒサ,マキタ,カズヒサ
牧田勝吾,マキタ ショウゴ,マキタ,ショウゴ
牧田政彦,マキタ マサヒコ,マキタ,マサヒコ
牧田明久,マキダ アキヒサ,マキダ,アキヒサ
牧谷宇佐美,マキタニ ウサミ,マキタニ,ウサミ
牧野潔,マキノ キヨシ,マキノ,キヨシ
牧野茂,マキノ シゲル,マキノ,シゲル
牧野伸,マキノ ノボル,マキノ,ノボル
